"","X","gvkey","datadate","viol","fyearq","fqtr","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","ibq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","xintq","prccq","splticrm","sich","sic","cuur0000aa0","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","Year","gvkey.1","datadate.1","fyearq.1","fqtr.1","indfmt","curcdq","datacqtr.1","datafqtr.1","prcraq","aqcy","capxy","prstkcy","costat","dvpspq","Index.1","Index.Correct","time","time.2"
"22",1889,1974,"30.06.05",1,2005,2,"2005Q2","2005Q2",179.265,213.595,12.402,8.477,NA,NA,0.041,134.04,136.39,4.232,19.395,142.766,77.205,0,0.4,17.86,"",8711,8711,582.6,"http://www.sec.gov/Archives/edgar/data/9263/0000950123-06-010570.txt",9263,"10-Q","BAKER MICHAEL CORP","30.06.05","15.08.06",2005,1974,"30.06.05",2005,2,"INDL","USD","2005Q2","2005Q2",17.11,0,2.212,1.529,"I",0,"http://www.sec.gov/Archives/edgar/data/9263/0000950123-06-010570","http://www.sec.gov/Archives/edgar/data/9263/0000950123-06-010570-index.htm","2006-08-15 07:10:19","07:10:19"
"23",2003,2033,"31.12.04",1,2005,1,"2004Q4","2005Q1",184.935,546.523,14.827,25.194,30.934,116.209,-12.038,105.903,402.828,-10.283,147.315,64.489,143.695,43.187,NA,3.69,"",2300,2300,570.1,"http://www.sec.gov/Archives/edgar/data/9779/0000009779-05-000011.txt",9779,"10-Q","FAIRCHILD CORP","31.12.04","09.02.05",2004,2033,"31.12.04",2005,1,"INDL","USD","2004Q4","2005Q1",NA,0,2.687,0,"I",0,"http://www.sec.gov/Archives/edgar/data/9779/0000009779-05-000011","http://www.sec.gov/Archives/edgar/data/9779/0000009779-05-000011-index.htm","2005-02-09 16:47:41","16:47:41"
"24",2116,2080,"30.11.06",1,2006,4,"2006Q4","2006Q4",105.764,309.937,6.051,11.804,0,23.522,0.359,43.56,94.071,1.21,92.426,76.502,215.866,0,NA,17.7,"",2511,2511,603.6,"http://www.sec.gov/Archives/edgar/data/10329/0001193125-07-029518.txt",10329,"10-K","BASSETT FURNITURE INDUSTRIES INC","25.11.06","13.02.07",2006,2080,"30.11.06",2006,4,"INDL","USD","2006Q4","2006Q4",15.41,0.43,6.938,1.013,"A",0.2,"http://www.sec.gov/Archives/edgar/data/10329/0001193125-07-029518","http://www.sec.gov/Archives/edgar/data/10329/0001193125-07-029518-index.htm","2007-02-13 16:36:15","16:36:15"
"25",2128,2085,"30.09.05",1,2005,3,"2005Q3","2005Q3",1488.6,3005.3,556,53.758,168.7,477,-105.2,1032.7,1732.2,125.5,560.9,584.3,1259.1,108.1,11.5,80.68,"BBB",2834,2834,595.4,"http://www.sec.gov/Archives/edgar/data/10427/0000010427-07-000153.txt",10427,"10-Q","BAUSCH & LOMB INC","24.09.05","19.06.07",2005,2085,"30.09.05",2005,3,"INDL","USD","2005Q3","2005Q3",81.7,0,66.4,43.6,"I",0.13,"http://www.sec.gov/Archives/edgar/data/10427/0000010427-07-000153","http://www.sec.gov/Archives/edgar/data/10427/0000010427-07-000153-index.htm","2007-06-19 08:28:39","08:28:39"
"26",2311,2163,"31.03.04",1,2003,4,"2004Q1","2003Q4",11.651,142.41,2.196,9.092,21.773,0.026,2.853,42.503,43.766,7.096,98.219,50.654,97.23,1.237,0.133,18.12,"",5812,5812,561.5,"http://www.sec.gov/Archives/edgar/data/935226/0000935226-04-000019.txt",935226,"10-K","BENIHANA INC","28.03.04","14.06.04",2004,2163,"31.03.04",2003,4,"INDL","USD","2004Q1","2003Q4",NA,0,22.038,0,"I",0,"http://www.sec.gov/Archives/edgar/data/935226/0000935226-04-000019","http://www.sec.gov/Archives/edgar/data/935226/0000935226-04-000019-index.htm","2004-06-14 15:50:01","15:50:01"
"27",2358,2193,"30.06.04",1,2004,2,"2004Q2","2004Q2",539.083,1322.823,216.463,107.958,9.388,563.8,-14.276,344.756,1087.059,52.112,645.066,535.974,235.764,0,12.108,8.6,"BB-",8051,8051,568.2,"http://www.sec.gov/Archives/edgar/data/1040441/0000950134-04-011732.txt",1040441,"10-Q","BEVERLY ENTERPRISES INC","30.06.04","09.08.04",2004,2193,"30.06.04",2004,2,"INDL","USD","2004Q2","2004Q2",NA,0,21.913,0,"I",0,"http://www.sec.gov/Archives/edgar/data/1040441/0000950134-04-011732","http://www.sec.gov/Archives/edgar/data/1040441/0000950134-04-011732-index.htm","2004-08-09 13:15:24","13:15:24"
"28",2368,2204,"31.12.04",1,2004,4,"2004Q4","2004Q4",5.071,112.113,2.487,11.191,0,148.637,4.464,2.872,155.246,-0.063,0,3.443,-43.133,0,3.485,2.27,"",1311,1311,570.1,"http://www.sec.gov/Archives/edgar/data/870756/0000950134-05-005119.txt",870756,"10-K","NATIONAL ENERGY GROUP INC","31.12.04","16.03.05",2004,2204,"31.12.04",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,0,0,"I",0,"http://www.sec.gov/Archives/edgar/data/870756/0000950134-05-005119","http://www.sec.gov/Archives/edgar/data/870756/0000950134-05-005119-index.htm","2005-03-15 18:23:46","18:23:46"
"29",2473,2251,"31.12.05",1,2005,4,"2005Q4","2005Q4",5.734,6.212,1.452,9.906,0.289,0.325,-0.539,1.461,1.786,-0.215,0.406,3.064,4.426,0,0.013,1.35,"",3821,3821,589.4,"http://www.sec.gov/Archives/edgar/data/723889/0001104659-06-020584.txt",723889,"10-K","MFIC CORP","31.12.05","30.03.06",2005,2251,"31.12.05",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,0.096,0,"I",0,"http://www.sec.gov/Archives/edgar/data/723889/0001104659-06-020584","http://www.sec.gov/Archives/edgar/data/723889/0001104659-06-020584-index.htm","2006-03-30 15:06:43","15:06:43"
"30",2480,2251,"30.09.07",1,2007,3,"2007Q3","2007Q3",6.361,6.762,1.168,10.207,0.13,0,-0.86,1.931,1.931,-0.829,0.339,2.312,4.831,0,0.006,1.23,"",3821,3821,624.543,"http://www.sec.gov/Archives/edgar/data/723889/0001047469-07-009125.txt",723889,"10-Q","MFIC CORP","30.09.07","13.11.07",2007,2251,"30.09.07",2007,3,"INDL","USD","2007Q3","2007Q3",NA,0,0.146,NA,"I",0,"http://www.sec.gov/Archives/edgar/data/723889/0001047469-07-009125","http://www.sec.gov/Archives/edgar/data/723889/0001047469-07-009125-index.htm","2007-11-13 16:18:40","16:18:40"
"31",2508,2259,"31.12.05",1,2005,4,"2005Q4","2005Q4",541.968,2119.96,34.198,33.156,66.771,670.193,26.007,470.623,1376.156,73.63,1435.398,179.728,738.879,137.584,12.212,34.61,"BBB-",4911,4911,589.4,"http://www.sec.gov/Archives/edgar/data/1130464/0001130464-06-000172.txt",1130464,"10-K","BLACK HILLS CORP /SD/","31.12.05","16.03.06",2005,2259,"31.12.05",2005,4,"INDL","USD","2005Q4","2005Q4",34.96,65.118,138.628,0,"A",0.32,"http://www.sec.gov/Archives/edgar/data/1130464/0001130464-06-000172","http://www.sec.gov/Archives/edgar/data/1130464/0001130464-06-000172-index.htm","2006-03-16 13:54:16","13:54:16"
"32",2545,2269,"31.01.07",1,2006,3,"2006Q4","2006Q3",5507.279,9359.978,1515.19,322.82,3438.754,416.183,21.944,7070.259,7829.804,69.81,392.706,931.179,1530.174,0,12.066,24.6,"BBB+",7200,7200,606.348,"http://www.sec.gov/Archives/edgar/data/12659/0000950137-07-003740.txt",12659,"10-Q","H&R BLOCK INC","31.01.07","14.03.07",2007,2269,"31.01.07",2006,3,"INDL","USD","2006Q4","2006Q3",23.25,24.67,129.905,188.562,"A",0,"http://www.sec.gov/Archives/edgar/data/12659/0000950137-07-003740","http://www.sec.gov/Archives/edgar/data/12659/0000950137-07-003740-index.htm","2007-03-14 08:44:51","08:44:51"
"33",2559,2270,"30.06.06",1,2006,2,"2006Q2","2006Q2",725.8,3922.2,309.8,153.4,17.2,466.9,194,230,1064.2,318.3,2823.2,475.2,2858,333.9,9.5,46.02,"BBB+",1381,1381,607.8,"http://www.sec.gov/Archives/edgar/data/314808/0000314808-06-000059.txt",314808,"10-Q","ENSCO INTERNATIONAL INC","30.06.06","25.07.06",2006,2270,"30.06.06",2006,2,"INDL","USD","2006Q2","2006Q2",47.94,0,283.8,52.2,"A",0.025,"http://www.sec.gov/Archives/edgar/data/314808/0000314808-06-000059","http://www.sec.gov/Archives/edgar/data/314808/0000314808-06-000059-index.htm","2006-07-25 17:11:50","17:11:50"
"34",2655,2299,"30.11.05",1,2005,4,"2005Q4","2005Q4",18.203,39.998,3.615,48.803,2.631,1.32,-13.146,7.217,9.994,-0.676,5.508,9.187,29.763,0,0.047,1.04,"",3845,3845,592,"http://www.sec.gov/Archives/edgar/data/719722/0001193125-06-041291.txt",719722,"10-K","CARDIODYNAMICS INTERNATIONAL CORP","30.11.05","28.02.06",2005,2299,"30.11.05",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0.056,1.244,0,"I",0,"http://www.sec.gov/Archives/edgar/data/719722/0001193125-06-041291","http://www.sec.gov/Archives/edgar/data/719722/0001193125-06-041291-index.htm","2006-02-28 16:06:05","16:06:05"
"35",2720,2340,"30.09.05",1,2005,3,"2005Q3","2005Q3",4.924,10.248,0.869,7.651,1.512,1.678,-0.746,3.819,5.497,-0.625,2.391,3.578,4.751,0,0.105,0.2,"",1700,1700,595.4,"http://www.sec.gov/Archives/edgar/data/13547/0001144204-05-035511.txt",13547,"10QSB","ENTRX CORP","30.09.05","14.11.05",2005,2340,"30.09.05",2005,3,"INDL","USD","2005Q3","2005Q3",NA,0,0.188,0,"I",0,"http://www.sec.gov/Archives/edgar/data/13547/0001144204-05-035511","http://www.sec.gov/Archives/edgar/data/13547/0001144204-05-035511-index.htm","2005-11-14 16:27:13","16:27:13"
"36",2769,2346,"31.12.05",1,2005,4,"2005Q4","2005Q4",370.407,563.248,187.514,32.071,0.452,76.078,-7.093,139.101,251.475,7.16,108.26,157.045,311.773,0,1.366,14.84,"B+",2750,2750,589.4,"http://www.sec.gov/Archives/edgar/data/13610/0000950123-06-004456.txt",13610,"10-K","BOWNE & CO INC","31.12.05","10.04.06",2005,2346,"31.12.05",2005,4,"INDL","USD","2005Q4","2005Q4",14.12,0,40.25,33.97,"I",0.055,"http://www.sec.gov/Archives/edgar/data/13610/0000950123-06-004456","http://www.sec.gov/Archives/edgar/data/13610/0000950123-06-004456-index.htm","2006-04-10 17:28:05","17:28:05"
"37",2846,2403,"30.09.05",1,2005,3,"2005Q3","2005Q3",10145,25609,3781,1957,277,5895,964,6622,14341,1197,5649,4767,11268,0,79,24.06,"A+",2834,2834,595.4,"http://www.sec.gov/Archives/edgar/data/14272/0001193125-05-214797.txt",14272,"10-Q","BRISTOL MYERS SQUIBB CO","30.09.05","03.11.05",2005,2403,"30.09.05",2005,3,"INDL","USD","2005Q3","2005Q3",25.09,0,537,0,"A",0.28,"http://www.sec.gov/Archives/edgar/data/14272/0001193125-05-214797","http://www.sec.gov/Archives/edgar/data/14272/0001193125-05-214797-index.htm","2005-11-03 06:09:55","06:09:55"
"38",2996,2504,"31.12.04",1,2004,4,"2004Q4","2004Q4",2417.6,5620.9,660.5,337.4,152.7,898.4,-34.9,2022.8,4077.3,83.7,424.1,1524,1506.5,0,17.6,10.18,"BB+",7373,7373,570.1,"http://www.sec.gov/Archives/edgar/data/746838/0001193125-05-032226.txt",746838,"10-K","UNISYS CORP","31.12.04","18.02.05",2004,2504,"31.12.04",2004,4,"INDL","USD","2004Q4","2004Q4",NA,19.4,137,0,"A",0,"http://www.sec.gov/Archives/edgar/data/746838/0001193125-05-032226","http://www.sec.gov/Archives/edgar/data/746838/0001193125-05-032226-index.htm","2005-02-17 18:47:13","18:47:13"
"39",3029,2521,"31.12.04",1,2004,4,"2004Q4","2004Q4",28.288,56.596,1.146,16.279,19.791,35.628,-2.362,41.546,81.849,NA,9.374,17.357,-25.583,0.46,2.146,0.36,"",3490,3490,570.1,"http://www.sec.gov/Archives/edgar/data/1003429/0001003429-05-000009.txt",1003429,"10-K","REUNION INDUSTRIES INC","31.12.04","15.04.05",2004,2521,"31.12.04",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,0.78,0,"A",0,"http://www.sec.gov/Archives/edgar/data/1003429/0001003429-05-000009","http://www.sec.gov/Archives/edgar/data/1003429/0001003429-05-000009-index.htm","2005-04-15 17:18:00","17:18:00"
